Date,Open,High,Low,Close,Adj Close,Volume
2013-02-21,202.618179,202.618179,195.472733,196.081818,152.889481,1845981
2013-02-22,196.163635,199.672729,195.454544,198.481812,154.760803,1204862
2013-02-25,199.909088,200.263641,196.481812,198.872726,155.065628,1096506
2013-02-26,197.890915,197.890915,191.645447,193.363632,150.770050,1028961
2013-02-27,194.545456,197.927277,194.254547,196.745453,153.406937,1377666
2013-02-28,199.272720,199.272720,186.563629,189.145447,147.481049,2401667
2013-03-01,191.563629,193.981812,190.545456,192.063629,149.756409,1040868
2013-03-04,191.818176,194.427277,190.381821,192.399994,150.018677,803890
2013-03-05,194.181824,199.636368,194.000000,198.872726,155.065628,1303416
2013-03-06,201.272720,201.809097,199.272720,201.154541,156.844788,948898
2013-03-07,200.909088,203.909088,199.681824,203.336365,158.546021,1114942
2013-03-08,203.454544,207.554550,203.454544,207.027267,161.423904,1468944
2013-03-11,208.000000,209.245453,204.772720,205.463638,160.204697,804468
2013-03-12,205.818176,206.763641,202.909088,204.054550,159.105988,908775
2013-03-13,202.909088,202.909088,196.881821,197.427277,153.938568,935874
2013-03-14,197.818176,202.945450,192.745453,201.954544,157.468582,3394208
2013-03-15,200.454544,200.909088,191.981812,194.027267,151.287491,4897496
2013-03-18,191.272720,191.781815,188.354538,191.109085,149.012131,2279578
2013-03-19,193.190903,194.863632,185.818176,187.445450,146.155502,3372945
2013-03-20,187.272720,188.072723,181.272720,182.109085,141.994614,2013483
2013-03-21,184.281815,192.454544,184.000000,188.209091,146.750931,6042678
2013-03-22,190.000000,190.636368,184.927277,186.972733,145.786911,2430922
2013-03-25,189.927277,190.872726,183.454544,184.163635,143.596588,2573829
2013-03-26,183.236359,186.690903,182.381821,185.654541,144.759079,1482678
2013-03-28,186.345459,192.181824,182.781815,190.063629,148.196960,1863190
2013-04-01,191.836365,192.727264,188.800003,191.236359,149.111359,1988645
2013-04-02,190.909088,191.490906,189.018188,190.445450,148.494690,796251
2013-04-03,190.709091,193.272720,186.399994,187.363632,146.091705,1143498
2013-04-04,185.454544,185.972733,182.409088,183.481812,143.064972,1427650
